2022/6/14	,	6.2242	,	1858.8206,23.7473
2022/6/15	,	6.342	,	1887.7557,23.8109
2022/6/16	,	6.2973	,	1892.2387,23.4351
2022/6/17	,	6.243	,	1929.0108,23.5487
2022/6/20	,	6.3412	,	1945.0565,23.2078
2022/6/21	,	6.3921	,	1947.0427,23.1495
2022/6/22	,	6.3346	,	1941.1835,23.1727
2022/6/23	,	6.2751	,	1952.002,23.1009
2022/6/24	,	6.2754	,	1998.5542,23.1724
2022/6/27	,	6.1486	,	2025.2809,23.3711
2022/6/28	,	6.3372	,	2025.0168,23.1282
2022/6/29	,	6.3678	,	2023.2161,23.0538
2022/6/30	,	6.3131	,	2048.1072,23.0787
2022/7/1	,	6.3724	,	2030.6834,24.2638
2022/7/4	,	6.4141	,	2011.0171,24.3748
2022/7/5	,	6.4272	,	2030.1222,24.2216
2022/7/6	,	6.442	,	2004.8984,24.0592
2022/7/7	,	6.4032	,	1996.5288,24.2544
2022/7/8	,	6.3786	,	2003.9156,24.0592
2022/7/11	,	6.5777	,	1966.3481,24.7927
2022/7/12	,	6.6395	,	1945.9882,24.9478
2022/7/13	,	6.7903	,	1961.0412,24.9952
2022/7/14	,	6.6324	,	1955.9305,24.8329
2022/7/15	,	6.4682	,	1971.7157,24.5617
2022/7/18	,	6.5364	,	1941.287,24.8946
2022/7/19	,	6.4826	,	1936.0754,24.9804
2022/7/20	,	6.4952	,	1956.7213,24.987
2022/7/21	,	6.394	,	1945.403,24.119
2022/7/22	,	6.3069	,	1948.898,24.1489
2022/7/25	,	6.2396	,	1942.6241,24.1158
2022/7/26	,	6.2451	,	1953.6285,24.153
2022/7/27	,	6.2278	,	1931.0527,23.9637
2022/7/28	,	6.266	,	1912.6685,24.0002
2022/7/29	,	6.3156	,	1897.912,23.9976
2022/8/1	,	6.1638	,	1895.765,23.8081
2022/8/2	,	5.976	,	1872.5556,23.624
2022/8/3	,	5.985	,	1887.2928,23.5531
2022/8/4	,	5.9792	,	1909.6367,23.7134
2022/8/5	,	5.9539	,	1920.4605,23.9576
2022/8/8	,	5.9922	,	1917.198,24.1913
2022/8/9	,	5.9526	,	1911.2609,24.1192
2022/8/10	,	5.8971	,	1883.3116,23.8785
2022/8/11	,	5.9323	,	1895.8372,23.9858
2022/8/12	,	6.0177	,	1916.3885,24.1469
2022/8/15	,	6.029	,	1923.6928,24.0708
2022/8/16	,	6.096	,	1923.8476,24.0403
2022/8/17	,	6.2826	,	1910.7708,23.5549
2022/8/18	,	6.2452	,	1892.31,23.4689
2022/8/19	,	6.3313	,	1898.9726,23.4198
2022/8/22	,	6.3899	,	1896.2521,23.5523
2022/8/23	,	6.3662	,	1874.2513,23.3023
2022/8/24	,	6.3148	,	1861.6273,23.2818
2022/8/25	,	6.3139	,	1873.4478,23.4234
2022/8/26	,	6.3258	,	1900.0824,23.3555
2022/8/29	,	6.2709	,	1883.6056,23.2682
2022/8/30	,	6.2224	,	1864.5564,23.2
2022/8/31	,	6.1207	,	1906.0053,23.753
2022/9/1	,	6.0427	,	1895.5648,23.8673
2022/9/2	,	6.0589	,	1874.634,23.9122
2022/9/5	,	6.0336	,	1837.1009,23.7046
2022/9/6	,	6.0768	,	1839.6922,23.8233
2022/9/7	,	6.1022	,	1819.9351,23.5117
2022/9/8	,	6.1235	,	1824.3897,23.6887
2022/9/9	,	6.0749	,	1842.6376,23.9284
2022/9/13	,	6.0409	,	1877.7995,23.7843
2022/9/14	,	5.9449	,	1871.8201,23.7389
2022/9/15	,	5.8855	,	1882.7077,23.8034
2022/9/16	,	5.7606	,	1866.2066,23.6285
2022/9/19	,	5.6585	,	1872.4562,23.4752
2022/9/20	,	5.6742	,	1873.9201,23.4508
2022/9/21	,	5.674	,	1859.577,23.4625
2022/9/22	,	5.6829	,	1826.9239,23.3565
2022/9/23	,	5.6494	,	1835.3937,23.4129
2022/9/26	,	5.5303	,	1869.0156,23.1934
2022/9/27	,	5.573	,	1881.5518,22.7392
2022/9/28	,	5.5777	,	1884.9725,22.4685
2022/9/29	,	5.5662	,	1887.7162,22.4913
2022/9/30	,	5.617	,	1879.3287,22.6286
2022/10/10	,	5.6627	,	1824.7495,23.2868
2022/10/11	,	5.7078	,	1782.4494,23.394
2022/10/12	,	5.7403	,	1737.1621,23.1664
